:START_ID(Investor),:END_ID(Company),:TYPE,round,date
0,5617,INVESTED_IN,新三板定增,2016-03-04
1,15080,INVESTED_IN,,2019-01-23
2,5568,INVESTED_IN,A轮,2010-02-01
2,5568,INVESTED_IN,B轮,2011-03-01
2,5568,INVESTED_IN,A轮,2010-02-01
2,5568,INVESTED_IN,B轮,2011-03-01
2,5791,INVESTED_IN,B轮,2014-12-01
2,11679,INVESTED_IN,A轮,2011-07-01
2,5738,INVESTED_IN,A轮,2012-08-01
2,5791,INVESTED_IN,A轮,2012-12-27
3,6056,INVESTED_IN,新三板定增,2017-09-29
4,15084,INVESTED_IN,B轮,2019-06-17
5,7204,INVESTED_IN,,2018-04-01
6,5539,INVESTED_IN,A轮,2010-07-12
6,5539,INVESTED_IN,A轮,2010-07-12
6,11629,INVESTED_IN,A轮,2010-08-26
7,5583,INVESTED_IN,上市定增,2017-10-27
8,11313,INVESTED_IN,,2017-12-01
9,11828,INVESTED_IN,新三板定增,2017-10-27
10,6695,INVESTED_IN,B轮,2019-09-16
11,5355,INVESTED_IN,新三板定增,2019-07-16
11,5355,INVESTED_IN,新三板定增,2019-07-16
12,6249,INVESTED_IN,PRE-A轮,2016-03-15
13,10828,INVESTED_IN,,2018-10-18
14,5604,INVESTED_IN,B轮,2012-11-05
15,12163,INVESTED_IN,IPO轮,2016-06-16
16,5795,INVESTED_IN,A+轮,2018-07-07
17,5549,INVESTED_IN,IPO轮,2017-11-08
18,11025,INVESTED_IN,IPO轮,2017-06-08
19,5423,INVESTED_IN,B+轮,2018-10-08
19,5423,INVESTED_IN,B+轮,2018-06-07
20,11971,INVESTED_IN,A+轮,2017-11-17
21,6716,INVESTED_IN,IPO轮,2016-07-03
21,11702,INVESTED_IN,上市定增,2010-09-14
22,5505,INVESTED_IN,D轮,2010-12-30
22,5505,INVESTED_IN,D轮,2010-12-30
23,5531,INVESTED_IN,新三板定增,2016-11-10
24,14479,INVESTED_IN,IPO轮,2016-06-03
25,6717,INVESTED_IN,A轮,2019-12-02
26,15265,INVESTED_IN,IPO轮,2018-01-18
27,6065,INVESTED_IN,A轮,2017-08-31
27,6065,INVESTED_IN,A轮,2017-08-31
28,5996,INVESTED_IN,天使轮,2017-12-31
29,11393,INVESTED_IN,,2019-09-11
29,11393,INVESTED_IN,A轮,2019-09-11
30,5964,INVESTED_IN,新三板定增,2016-10-19
30,5991,INVESTED_IN,A轮,2016-08-24
30,11765,INVESTED_IN,A轮,2015-12-07
30,15213,INVESTED_IN,新三板定增,2017-07-14
31,10383,INVESTED_IN,A轮,2019-07-11
32,6143,INVESTED_IN,A轮,2016-12-29
32,6143,INVESTED_IN,B轮,2018-07-18
33,11116,INVESTED_IN,A轮,2015-09-09
34,5617,INVESTED_IN,A轮,2013-07-09
35,6693,INVESTED_IN,D轮,2018-05-21
35,6693,INVESTED_IN,B轮,2016-11-30
35,6693,INVESTED_IN,D轮,2018-05-21
36,11673,INVESTED_IN,天使轮,2010-01-18
37,5372,INVESTED_IN,B轮,2019-06-05
37,5372,INVESTED_IN,B轮,2019-06-05
37,5996,INVESTED_IN,A轮,2019-05-22
37,6103,INVESTED_IN,,2019-09-24
37,6103,INVESTED_IN,A轮,2017-12-14
37,5996,INVESTED_IN,A轮,2019-05-22
37,11456,INVESTED_IN,,2019-03-01
37,11456,INVESTED_IN,PRE-A轮,2018-10-26
38,15248,INVESTED_IN,IPO轮,2018-04-17
39,5792,INVESTED_IN,,2014-12-01
39,10810,INVESTED_IN,A轮,2016-10-20
40,15091,INVESTED_IN,新三板定增,2016-01-29
41,11353,INVESTED_IN,新三板定增,2017-09-15
42,11237,INVESTED_IN,A轮,2008-03-01
43,5599,INVESTED_IN,A轮,2011-09-30
43,5599,INVESTED_IN,A轮,2011-09-30
44,5330,INVESTED_IN,C轮,2019-09-20
44,5330,INVESTED_IN,C轮,2019-09-20
44,5639,INVESTED_IN,A轮,2014-07-01
44,5639,INVESTED_IN,B轮,2015-12-02
44,11962,INVESTED_IN,C轮,2017-12-21
44,11975,INVESTED_IN,天使轮,2017-11-08
44,11975,INVESTED_IN,A轮,2017-11-08
45,11978,INVESTED_IN,新三板定增,2017-10-27
46,5353,INVESTED_IN,B+轮,2018-11-22
46,5353,INVESTED_IN,B+轮,2018-11-22
47,5743,INVESTED_IN,B轮,2014-09-16
48,6117,INVESTED_IN,B+轮,2018-12-05
49,5916,INVESTED_IN,C轮,2018-07-24
50,5912,INVESTED_IN,,2017-08-28
51,11577,INVESTED_IN,上市定增,2019-05-10
52,5809,INVESTED_IN,D轮,2014-10-08
52,11788,INVESTED_IN,A轮,2015-09-17
52,6712,INVESTED_IN,A轮,2016-09-30
52,5664,INVESTED_IN,B轮,2013-03-01
53,5957,INVESTED_IN,A轮,2012-05-25
53,5957,INVESTED_IN,B轮,2012-12-13
53,5957,INVESTED_IN,,2013-04-28
54,5799,INVESTED_IN,C轮,2012-08-24
55,6439,INVESTED_IN,上市定增,2009-02-20
56,5745,INVESTED_IN,上市定增,2013-08-01
57,5769,INVESTED_IN,A轮,2010-07-15
58,11353,INVESTED_IN,新三板定增,2017-09-15
59,6156,INVESTED_IN,B+轮,2018-08-01
59,11906,INVESTED_IN,A轮,2018-09-27
59,6156,INVESTED_IN,B轮,2018-08-02
59,6223,INVESTED_IN,,2005-03-04
60,5405,INVESTED_IN,天使轮,2019-03-16
60,5405,INVESTED_IN,天使轮,2019-03-16
60,5355,INVESTED_IN,A轮,2013-11-01
60,6123,INVESTED_IN,D轮,2018-10-17
60,11312,INVESTED_IN,D轮,2019-02-21
60,11712,INVESTED_IN,A轮,2012-03-30
60,6072,INVESTED_IN,新三板定增,2017-10-27
60,11889,INVESTED_IN,A轮,2016-12-16
60,11889,INVESTED_IN,A轮,2016-12-16
60,11967,INVESTED_IN,A轮,2017-12-08
60,15015,INVESTED_IN,B轮,2018-02-28
60,14778,INVESTED_IN,PRE-A轮,2017-08-09
61,11578,INVESTED_IN,上市定增,2019-04-26
62,5333,INVESTED_IN,上市定增,2019-09-10
62,5333,INVESTED_IN,上市定增,2019-09-10
62,5387,INVESTED_IN,D轮,2018-07-16
62,14611,INVESTED_IN,C轮,2018-12-18
63,5418,INVESTED_IN,,2018-11-14
64,6225,INVESTED_IN,B轮,2018-09-25
65,7121,INVESTED_IN,A轮,2010-12-30
66,6702,INVESTED_IN,天使轮,2016-05-09
67,12036,INVESTED_IN,新三板定增,2017-04-12
68,6414,INVESTED_IN,PRE-A轮,2017-03-26
68,6414,INVESTED_IN,天使轮,2016-11-30
69,5689,INVESTED_IN,A轮,2012-05-17
70,11604,INVESTED_IN,A轮,2009-12-28
71,10654,INVESTED_IN,A轮,2016-11-07
71,11400,INVESTED_IN,C轮,2017-03-28
71,11460,INVESTED_IN,A轮,2019-05-20
71,5504,INVESTED_IN,D轮,2014-10-29
71,10654,INVESTED_IN,A轮,2019-04-18
71,11466,INVESTED_IN,C轮,2018-08-30
72,6716,INVESTED_IN,上市定增,2008-07-16
72,11316,INVESTED_IN,上市定增,2010-02-01
72,15191,INVESTED_IN,A轮,2016-12-06
73,5560,INVESTED_IN,A轮,2010-03-29
73,5560,INVESTED_IN,A轮,2010-03-29
73,5522,INVESTED_IN,D轮,2010-12-24
73,11687,INVESTED_IN,A轮,2009-12-10
73,12085,INVESTED_IN,D轮,2010-12-30
74,6092,INVESTED_IN,新三板定增,2017-07-07
74,15197,INVESTED_IN,新三板定增,2017-12-15
74,11160,INVESTED_IN,新三板定增,2017-09-28
75,6131,INVESTED_IN,D轮,2018-09-17
75,5654,INVESTED_IN,D轮,2019-06-20
75,5654,INVESTED_IN,A轮,2015-12-01
76,7168,INVESTED_IN,A轮,2018-09-27
77,5425,INVESTED_IN,,2019-01-31
77,5425,INVESTED_IN,,2019-01-31
78,5381,INVESTED_IN,,2018-08-08
79,11577,INVESTED_IN,上市定增,2019-05-10
79,6334,INVESTED_IN,上市定增,2017-10-09
80,6475,INVESTED_IN,A轮,2016-08-17
81,12208,INVESTED_IN,新三板定增,2016-03-14
82,6903,INVESTED_IN,C轮,2015-06-19
83,5819,INVESTED_IN,B轮,2016-11-08
84,5732,INVESTED_IN,,2013-11-12
84,11727,INVESTED_IN,B轮,2013-09-30
84,15084,INVESTED_IN,A轮,2018-01-09
85,12217,INVESTED_IN,新三板定增,2016-02-25
86,5809,INVESTED_IN,新三板定增,2016-12-21
87,5617,INVESTED_IN,新三板定增,2016-03-04
88,6097,INVESTED_IN,新三板定增,2018-12-28
88,6333,INVESTED_IN,新三板定增,2017-10-24
88,10886,INVESTED_IN,新三板定增,2018-09-21
89,10709,INVESTED_IN,C轮,2016-03-22
90,12195,INVESTED_IN,IPO轮,2016-04-12
91,5544,INVESTED_IN,C轮,2010-06-09
91,5544,INVESTED_IN,C轮,2010-06-09
92,6102,INVESTED_IN,新三板定增,2018-12-18
93,6292,INVESTED_IN,新三板定增,2017-09-06
94,5830,INVESTED_IN,新三板定增,2014-07-01
94,14611,INVESTED_IN,C轮,2018-12-18
95,5774,INVESTED_IN,C轮,2017-09-13
96,12157,INVESTED_IN,新三板定增,2016-06-28
97,6002,INVESTED_IN,B轮,2019-02-27
98,6416,INVESTED_IN,IPO轮,2017-03-22
98,6624,INVESTED_IN,IPO轮,2016-04-21
98,5469,INVESTED_IN,IPO轮,2016-02-02
98,11386,INVESTED_IN,IPO轮,2016-08-31
99,11353,INVESTED_IN,新三板定增,2017-09-15
100,5352,INVESTED_IN,B+轮,2019-07-24
100,5352,INVESTED_IN,B+轮,2019-07-24
100,5730,INVESTED_IN,A轮,2013-11-20
100,6685,INVESTED_IN,B轮,2019-05-06
100,7143,INVESTED_IN,B轮,2013-11-07
100,6173,INVESTED_IN,B轮,2018-10-12
100,6685,INVESTED_IN,,2018-05-07
100,6691,INVESTED_IN,天使轮,2016-11-29
100,7143,INVESTED_IN,天使轮,2013-04-12
100,15193,INVESTED_IN,,2017-12-28
101,5423,INVESTED_IN,A轮,2016-12-09
102,11034,INVESTED_IN,A轮,2018-04-04
103,15092,INVESTED_IN,A轮,2019-04-17
103,15092,INVESTED_IN,,2019-05-12
104,5614,INVESTED_IN,A轮,2012-12-31
104,5614,INVESTED_IN,A轮,2012-12-31
105,15256,INVESTED_IN,新三板定增,2018-03-06
106,11921,INVESTED_IN,,2018-05-21
107,6173,INVESTED_IN,B轮,2018-10-12
107,5941,INVESTED_IN,D轮,2018-07-23
107,5941,INVESTED_IN,D轮,2019-05-08
107,5941,INVESTED_IN,D轮,2018-07-23
108,11597,INVESTED_IN,天使轮,2019-01-30
109,11808,INVESTED_IN,,2018-09-12
110,5567,INVESTED_IN,B轮,2010-02-03
110,5567,INVESTED_IN,B轮,2010-02-03
110,5694,INVESTED_IN,,2012-04-30
110,5721,INVESTED_IN,B轮,2013-12-16
110,5567,INVESTED_IN,A轮,2008-12-19
110,11602,INVESTED_IN,A轮,2008-05-30
111,6113,INVESTED_IN,新三板定增,2016-02-03
112,6223,INVESTED_IN,B轮,2017-02-01
112,11263,INVESTED_IN,A轮,2015-11-18
113,6051,INVESTED_IN,A轮,2017-09-15
114,5399,INVESTED_IN,新三板定增,2019-03-27
114,5399,INVESTED_IN,新三板定增,2019-03-27
115,5958,INVESTED_IN,A轮,2016-11-01
115,5903,INVESTED_IN,C轮,2019-01-07
116,5430,INVESTED_IN,天使轮,2010-11-26
117,11749,INVESTED_IN,A轮,2014-09-30
117,11749,INVESTED_IN,A轮,2014-09-30
118,5779,INVESTED_IN,,2018-12-03
119,6354,INVESTED_IN,新三板定增,2017-08-14
120,5534,INVESTED_IN,A轮,2010-07-23
120,5686,INVESTED_IN,A轮,2012-07-01
120,5534,INVESTED_IN,A轮,2010-07-23
120,5686,INVESTED_IN,A轮,2012-07-01
120,5422,INVESTED_IN,天使轮,2017-10-27
120,5864,INVESTED_IN,D轮,2018-09-19
120,6155,INVESTED_IN,A轮,2018-07-11
120,6249,INVESTED_IN,A+轮,2018-06-28
120,6081,INVESTED_IN,A轮,2018-05-31
120,6482,INVESTED_IN,A轮,2016-12-02
120,6693,INVESTED_IN,D轮,2018-05-21
120,6249,INVESTED_IN,,2018-05-31
120,6890,INVESTED_IN,A轮,2010-01-28
120,11565,INVESTED_IN,E轮,2019-08-13
120,10660,INVESTED_IN,A轮,2010-12-01
120,5579,INVESTED_IN,A轮,2010-12-01
120,11771,INVESTED_IN,A轮,2015-11-30
120,6249,INVESTED_IN,A轮,2018-05-31
120,11787,INVESTED_IN,B轮,2018-08-29
120,5864,INVESTED_IN,B轮,2015-11-27
120,11261,INVESTED_IN,A轮,2008-05-06
120,15141,INVESTED_IN,A轮,2011-03-09
120,5390,INVESTED_IN,,2016-10-17
120,6227,INVESTED_IN,,2017-12-26
120,6693,INVESTED_IN,D轮,2018-05-21
121,6012,INVESTED_IN,B轮,2017-12-11
122,11911,INVESTED_IN,,2018-08-21
123,11711,INVESTED_IN,新三板定增,2018-08-02
124,6480,INVESTED_IN,新三板定增,2016-12-07
125,5453,INVESTED_IN,IPO轮,2017-06-20
126,6672,INVESTED_IN,IPO轮,2016-01-27
127,6249,INVESTED_IN,A轮,2016-12-01
128,5712,INVESTED_IN,D轮,2016-04-18
128,6143,INVESTED_IN,A轮,2016-12-29
129,11673,INVESTED_IN,B轮,2014-11-18
130,15084,INVESTED_IN,A轮,2018-01-09
131,11950,INVESTED_IN,IPO轮,2018-01-24
132,6029,INVESTED_IN,上市定增,2017-11-22
132,6035,INVESTED_IN,新三板定增,2017-11-17
132,11796,INVESTED_IN,新三板定增,2016-12-20
133,7094,INVESTED_IN,IPO轮,2017-03-22
134,5962,INVESTED_IN,IPO轮,2016-10-25
134,6581,INVESTED_IN,新三板定增,2016-06-21
134,6585,INVESTED_IN,新三板定增,2016-06-08
134,12085,INVESTED_IN,新三板定增,2016-12-15
134,5752,INVESTED_IN,新三板定增,2016-05-23
134,12217,INVESTED_IN,新三板定增,2016-02-25
134,12226,INVESTED_IN,新三板定增,2016-02-01
134,11641,INVESTED_IN,新三板定增,2016-02-01
135,10970,INVESTED_IN,新三板定增,2017-06-21
136,6075,INVESTED_IN,新三板定增,2017-08-10
137,6156,INVESTED_IN,A轮,2016-09-22
137,15111,INVESTED_IN,A轮,2009-11-17
137,11631,INVESTED_IN,A轮,2009-09-01
138,12176,INVESTED_IN,新三板定增,2016-05-17
139,5475,INVESTED_IN,A轮,2009-11-09
139,5475,INVESTED_IN,A轮,2009-11-09
139,5475,INVESTED_IN,B轮,2011-08-01
139,10700,INVESTED_IN,A轮,2011-05-10
139,14714,INVESTED_IN,新三板定增,2017-12-29
139,15213,INVESTED_IN,新三板定增,2017-07-14
139,6559,INVESTED_IN,新三板定增,2018-10-22
140,11739,INVESTED_IN,A轮,2013-01-07
141,11726,INVESTED_IN,A轮,2015-09-25
142,6023,INVESTED_IN,IPO轮,2017-12-02
143,11614,INVESTED_IN,E轮,2015-10-15
144,12157,INVESTED_IN,新三板定增,2016-06-28
145,6491,INVESTED_IN,IPO轮,2016-11-18
146,15087,INVESTED_IN,A轮,2019-06-04
146,15087,INVESTED_IN,A轮,2019-06-04
147,10886,INVESTED_IN,新三板定增,2017-06-06
148,10291,INVESTED_IN,IPO轮,2017-01-21
149,14443,INVESTED_IN,新三板定增,2017-05-26
150,6123,INVESTED_IN,新三板定增,2017-06-20
151,5557,INVESTED_IN,B轮,2012-01-19
151,5557,INVESTED_IN,B轮,2012-01-19
151,10930,INVESTED_IN,新三板定增,2016-08-23
151,15132,INVESTED_IN,A轮,2011-11-01
152,11280,INVESTED_IN,新三板定增,2016-04-07
153,5981,INVESTED_IN,A轮,2016-09-12
154,5669,INVESTED_IN,A轮,2012-09-21
154,5669,INVESTED_IN,A轮,2012-09-21
154,10852,INVESTED_IN,A轮,2011-10-20
154,10852,INVESTED_IN,B轮,2013-12-20
154,10852,INVESTED_IN,新三板定增,2016-10-21
155,5540,INVESTED_IN,上市定增,2019-07-17
155,6982,INVESTED_IN,上市定增,2011-08-22
156,11300,INVESTED_IN,A+轮,2018-10-08
157,6815,INVESTED_IN,,2012-08-16
158,5614,INVESTED_IN,新三板定增,2016-05-30
159,15410,INVESTED_IN,IPO轮,2016-04-15
160,5335,INVESTED_IN,B+轮,2019-09-06
160,5335,INVESTED_IN,B+轮,2019-09-06
161,5692,INVESTED_IN,A轮,2012-05-10
